week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,moves,n_pickers,policy
15,4428,87184,2348.187,530.3042005420054,0.08043336868286133,0.6501060974490732,144.12331122452278,273.5163227698839,229.7543780803003,100,15,A1
16,5091,106001,2711.358,532.5786682380672,0.09217262268066406,0.6534568070112546,183.52032086457953,304.94134291418743,305.3950853038155,100,15,A1
17,5240,99173,2653.419,506.3776717557252,0.09302687644958496,0.6509279239309086,164.58963029418672,284.3760282288328,284.5957096324345,100,15,A1
18,4195,84527,2216.275,528.3134684147795,0.07625961303710938,0.6624602198114212,143.54967518464215,272.26466050833716,219.4752904694583,99,15,A1
19,5148,98986,2680.144,520.6184926184926,0.09156537055969238,0.6437880104257168,169.21222982331327,284.69773950514843,267.7302019751055,100,15,A1
20,4800,94279,2512.21,523.3770833333333,0.08586812019348145,0.6561050180846212,150.4940867206002,241.48405818436294,270.22534701756183,100,15,A1
21,5057,98283,2683.265,530.6041131105399,0.09142303466796875,0.6446544672018558,166.05711644924835,287.0987729559682,295.02176679304233,100,15,A1
13,4619,92346,2464.158,533.4830049794327,0.08404397964477539,0.6443473458514717,93.30759441975991,168.48440004011132,666.0108641856831,0,25,B1
14,4926,101294,2691.315,546.3489646772229,0.09070825576782227,0.6423791142614568,125.18470437245968,194.1073811407218,771.80139725322,0,25,B1
15,4428,87184,2409.71,544.1982836495032,0.08094334602355957,0.6375567764727473,98.88789200409596,189.3903299007498,644.8362653511549,0,25,B1
16,5091,106001,2798.434,549.6825770968376,0.09246253967285156,0.6393970339902454,121.12684958402484,208.93755594477406,803.8383346134067,0,25,B1
17,5240,99173,2742.974,523.468320610687,0.09599733352661133,0.6325035543948454,102.85221583397107,194.39933874403513,737.5717968608928,0,25,B1
18,4195,84527,2298.953,548.0221692491061,0.07680034637451172,0.6418697575922486,92.90293140753163,175.45059673695224,547.4252076364713,0,25,B1
19,5148,98986,2756.013,535.3560606060606,0.09326982498168945,0.6283449174630756,109.19017133987283,185.0876744924037,727.2308097689788,0,25,B1
20,4800,94279,2617.782,545.37125,0.08725786209106445,0.6370907094899182,96.66435432699528,162.83284703555572,701.6440666271245,0,25,B1
