week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s,cell,factor,level
19,5148,98986,3781.578,734.5722610722611,0.09363079071044922,0.4374224637827572,,,,B1,0,0.0,blocks1,blocks,1
20,4800,94279,3630.996,756.4575,0.09845972061157227,0.4454433118722091,,,,B1,0,0.0,blocks1,blocks,1
21,5057,98283,3771.174,745.7334387977062,0.06641077995300293,0.44019667694311326,,,,B1,0,0.0,blocks1,blocks,1
13,4619,92346,3406.122,737.4154578913185,0.08548688888549805,0.45527689342256294,,,,A1,100,5.82,blocks1,blocks,1
14,4926,101294,3708.882,752.919610231425,0.08151960372924805,0.4532252650699943,,,,A1,100,5.4,blocks1,blocks,1
15,4428,87184,3327.672,751.5067750677507,0.09406828880310059,0.4506595246834281,,,,A1,100,22.95,blocks1,blocks,1
16,5091,106001,3857.574,757.7242192103712,0.06763124465942383,0.4503481099234913,,,,A1,100,5.45,blocks1,blocks,1
17,5240,99173,3725.19,710.9141221374045,0.07042503356933594,0.4580767950954393,,,,A1,100,5.6,blocks1,blocks,1
18,4195,84527,3133.68,747.0035756853397,0.056444644927978516,0.46327386515551244,,,,A1,99,5.99,blocks1,blocks,1
19,5148,98986,3765.054,731.3624708624709,0.07047700881958008,0.4498898834178571,,,,A1,100,5.88,blocks1,blocks,1
20,4800,94279,3591.234,748.17375,0.06308984756469727,0.46124852830428836,,,,A1,100,5.53,blocks1,blocks,1
21,5057,98283,3781.194,747.7148507019972,0.06854462623596191,0.4481543094940122,,,,A1,100,11.56,blocks1,blocks,1
13,4619,92346,2305.146,499.0573717254817,0.12125635147094727,0.6931818920148138,,,,B1,0,0.0,blocks4,blocks,4
14,4926,101294,2518.614,511.2898903775883,0.13095974922180176,0.693257251169862,,,,B1,0,0.0,blocks4,blocks,4
15,4428,87184,2279.174,514.7186088527552,0.1180276870727539,0.6886469994494403,,,,B1,0,0.0,blocks4,blocks,4
16,5091,106001,2654.382,521.387153800825,0.1400923728942871,0.6896620079055858,,,,B1,0,0.0,blocks4,blocks,4
17,5240,99173,2621.434,500.2736641221374,0.15256404876708984,0.6816909592328557,,,,B1,0,0.0,blocks4,blocks,4
18,4195,84527,2188.038,521.5823599523242,0.12105107307434082,0.6923925195499663,,,,B1,0,0.0,blocks4,blocks,4
19,5148,98986,2631.136,511.0986790986791,0.14948630332946777,0.6774670155375507,,,,B1,0,0.0,blocks4,blocks,4
20,4800,94279,2500.73,520.9854166666667,0.13383269309997559,0.6868842743346875,,,,B1,0,0.0,blocks4,blocks,4
21,5057,98283,2640.14,522.076329839826,0.13649582862854004,0.6795901885371834,,,,B1,0,0.0,blocks4,blocks,4
13,4619,92346,2288.612,495.47780904957784,0.12053561210632324,0.6972104909795768,,,,A1,100,5.73,blocks4,blocks,4
14,4926,101294,2496.638,506.8286642306131,0.1496903896331787,0.6978848697849823,,,,A1,100,5.12,blocks4,blocks,4
15,4428,87184,2237.59,505.32746160794943,0.12275099754333496,0.6982946985685446,,,,A1,100,5.74,blocks4,blocks,4
16,5091,106001,2567.152,504.2529954822235,0.13245820999145508,0.7019392505731078,,,,A1,100,5.56,blocks4,blocks,4
17,5240,99173,2490.966,475.37519083969465,0.1307058334350586,0.6988133110826535,,,,A1,100,5.15,blocks4,blocks,4
18,4195,84527,2084.008,496.7837902264601,0.13894033432006836,0.7086689755935973,,,,A1,99,10.23,blocks4,blocks,4
19,5148,98986,2537.33,492.8768453768454,0.1340789794921875,0.6937665427434183,,,,A1,100,6.45,blocks4,blocks,4
20,4800,94279,2364.956,492.69916666666666,0.13356447219848633,0.7081193850168118,,,,A1,100,5.28,blocks4,blocks,4
21,5057,98283,2528.074,499.91576033221276,0.19742798805236816,0.6946729088448663,,,,A1,100,5.05,blocks4,blocks,4
13,4619,92346,2177.565,471.43645810781555,0.09632444381713867,0.6789144449497903,,,,B1,0,0.0,aisleL-,aisle_len,-50%
14,4926,101294,2377.338,482.61023142509134,0.10287833213806152,0.6794690044161878,,,,B1,0,0.0,aisleL-,aisle_len,-50%
15,4428,87184,2138.022,482.8414634146341,0.09160995483398438,0.6731108919067719,,,,B1,0,0.0,aisleL-,aisle_len,-50%
16,5091,106001,2496.153,490.30701237477905,0.10671496391296387,0.6723950717446062,,,,B1,0,0.0,aisleL-,aisle_len,-50%
17,5240,99173,2448.741,467.31698473282444,0.10423064231872559,0.6653896053697411,,,,B1,0,0.0,aisleL-,aisle_len,-50%
18,4195,84527,2038.626,485.965673420739,0.09114623069763184,0.6803394181740745,,,,B1,0,0.0,aisleL-,aisle_len,-50%
19,5148,98986,2462.223,478.287296037296,0.10425162315368652,0.6637255100047819,,,,B1,0,0.0,aisleL-,aisle_len,-50%
20,4800,94279,2337.27,486.93125,0.09646058082580566,0.6736609778777175,,,,B1,0,0.0,aisleL-,aisle_len,-50%
21,5057,98283,2460.738,486.60035594225826,0.10499119758605957,0.664589501744961,,,,B1,0,0.0,aisleL-,aisle_len,-50%
13,4619,92346,2169.09,469.6016453777874,0.10245656967163086,0.6827940571329565,,,,A1,100,5.86,aisleL-,aisle_len,-50%
14,4926,101294,2361.84,479.4640682095006,0.09978079795837402,0.6839901672359666,,,,A1,100,4.94,aisleL-,aisle_len,-50%
15,4428,87184,2113.632,477.3333333333333,0.0889291763305664,0.6829276778613813,,,,A1,100,5.24,aisleL-,aisle_len,-50%
16,5091,106001,2443.716,480.0070713022982,0.10383081436157227,0.6865439948679729,,,,A1,100,13.28,aisleL-,aisle_len,-50%
17,5240,99173,2378.598,453.9309160305344,0.10363435745239258,0.6839847203035773,,,,A1,100,5.17,aisleL-,aisle_len,-50%
18,4195,84527,1987.926,473.8798569725864,0.14085054397583008,0.6947490151075988,,,,A1,100,5.08,aisleL-,aisle_len,-50%
19,5148,98986,2398.365,465.88286713286715,0.11028075218200684,0.6785137965638238,,,,A1,100,5.07,aisleL-,aisle_len,-50%
20,4800,94279,2257.026,470.21375,0.09599781036376953,0.6938577696694562,,,,A1,100,5.06,aisleL-,aisle_len,-50%
21,5057,98283,2407.494,476.07158394304923,0.10139036178588867,0.680235137307571,,,,A1,100,5.1,aisleL-,aisle_len,-50%
13,4619,92346,2779.254,601.7003680450314,0.0785214900970459,0.6070856189919279,,,,B1,0,0.0,aisleL+,aisle_len,+50%
14,4926,101294,3025.374,614.1644336175395,0.0852353572845459,0.606496224568371,,,,B1,0,0.0,aisleL+,aisle_len,+50%
15,4428,87184,2738.538,618.459349593496,0.07492709159851074,0.6012571113965866,,,,B1,0,0.0,aisleL+,aisle_len,+50%
