week,orders,lines,n_tours,batch_cap,routing,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy
15,4428,87184,1107,4,sshape,1297.782,293.0853658536585,0.027498245239257812,0.6375567764727473,78.91080811428641,135.6418076528949,554.7303517644957,B1_ABC
16,5091,106001,1273,4,sshape,1499.734,294.58534669023766,0.03140830993652344,0.6393970339902454,88.13202869542708,139.10188077985543,703.4129902704067,B1_ABC
17,5240,99173,1310,4,sshape,1504.975,287.20896946564886,0.03214669227600098,0.6325035543948454,82.75287566275212,130.77590307149396,679.3013354511603,B1_ABC
18,4195,84527,1049,4,sshape,1227.574,292.6278903456496,0.02619194984436035,0.6418697575922486,78.97010597265106,129.99121259593346,500.3881213391137,B1_ABC
19,5148,98986,1287,4,sshape,1509.737,293.26670551670554,0.03226065635681152,0.6283449174630756,103.62183497846243,175.95715596628145,787.6302606198391,B1_ABC
20,4800,94279,1200,4,sshape,1415.6,294.9166666666667,0.029541969299316406,0.6370907094899182,73.39638676131364,114.97441018245209,562.0894342011633,B1_ABC
21,5057,98283,1265,4,sshape,1489.777,294.59699426537475,0.034194231033325195,0.6297292003703591,82.08465078408248,121.08370547028726,680.2526125235369,B1_ABC
13,4619,92346,1155,4,sshape,1307.344,283.03615501190734,0.029128551483154297,0.6494439390986074,73.48180956200642,118.04199172470173,537.4468700239061,A1_pool
14,4926,101294,1232,4,sshape,1423.869,289.05176613885504,0.030651330947875977,0.6478182320769246,81.40227143837247,114.03986864627238,655.8533625698974,A1_pool
15,4428,87184,1107,4,sshape,1264.42,285.55103884372176,0.027541160583496094,0.6501060974490732,69.24418553041384,126.29316771507588,460.66129969291,A1_pool
16,5091,106001,1273,4,sshape,1445.378,283.90846592025144,0.030791521072387695,0.6534568070112546,80.2577041809317,117.42254335386095,653.1271580121203,A1_pool
17,5240,99173,1310,4,sshape,1446.624,276.0732824427481,0.03301215171813965,0.6509279239309086,81.87620748237619,145.81642900339742,659.3167979101603,A1_pool
18,4195,84527,1049,4,sshape,1181.553,281.6574493444577,0.02498173713684082,0.6624602198114212,84.5435717702938,151.91390121905016,514.113963983429,A1_pool
19,5148,98986,1287,4,sshape,1460.787,283.7581585081585,0.031000375747680664,0.6437880104257168,90.53830187502636,140.29936691131255,716.7872206145993,A1_pool
20,4800,94279,1200,4,sshape,1354.115,282.10729166666664,0.029471874237060547,0.6561050180846212,68.27572173391984,108.99550243143835,532.8831956035292,A1_pool
21,5057,98283,1265,4,sshape,1445.654,285.87186078702786,0.032718658447265625,0.6446544672018558,82.7276498426364,129.00694810753677,649.2877463200813,A1_pool
13,4619,92346,1155,4,largestgap,1243.113,269.1303312405283,0.0992588996887207,0.6443473458514717,81.84190314580937,128.3509345022086,633.6976253335263,B1_ABC
14,4926,101294,1232,4,largestgap,1357.982,275.6764108810394,0.1045217514038086,0.6423791142614568,70.3421237214665,106.76735132427675,563.6053153915507,B1_ABC
15,4428,87184,1107,4,largestgap,1226.372,276.9584462511292,0.09318256378173828,0.6375567764727473,72.87483829209629,125.16340700478695,498.6061788686202,B1_ABC
16,5091,106001,1273,4,largestgap,1428.734,280.63916715772933,0.10967755317687988,0.6393970339902454,89.849532807224,139.07330746872736,722.7209564084066,B1_ABC
17,5240,99173,1310,4,largestgap,1420.861,271.15667938931296,0.11017966270446777,0.6325035543948454,78.12803716382784,134.99589046672074,644.6552539752021,B1_ABC
18,4195,84527,1049,4,largestgap,1152.036,274.6212157330155,0.10252642631530762,0.6418697575922486,70.69545395231732,110.22978004578191,496.02374242484285,B1_ABC
19,5148,98986,1287,4,largestgap,1436.741,279.08721833721836,0.10936903953552246,0.6283449174630756,84.76078986978331,131.3222379297287,700.0146406626907,B1_ABC
20,4800,94279,1200,4,largestgap,1340.254,279.21958333333333,0.11124515533447266,0.6370907094899182,70.53237934585493,113.02200642489446,548.0789239000972,B1_ABC
21,5057,98283,1265,4,largestgap,1416.155,280.03856041131104,0.10747146606445312,0.6297292003703591,74.21647516385514,108.25649342546687,641.5793553461049,B1_ABC
13,4619,92346,1155,4,largestgap,1233.18,266.97986577181206,0.09429049491882324,0.6494439390986074,77.04498096995206,128.31250803380888,584.015767148262,A1_pool
14,4926,101294,1232,4,largestgap,1350.749,274.2080795777507,0.1026618480682373,0.6478182320769246,85.02110294892739,123.29210132345516,673.6794774310877,A1_pool
15,4428,87184,1107,4,largestgap,1204.636,272.04968383017166,0.09675836563110352,0.6501060974490732,64.8187566866205,108.57924054182935,458.2654797293295,A1_pool
16,5091,106001,1273,4,largestgap,1382.132,271.48536633274404,0.11798739433288574,0.6534568070112546,80.82545447824992,121.74895835362102,673.4671353992893,A1_pool
17,5240,99173,1310,4,largestgap,1363.324,260.1763358778626,0.10995078086853027,0.6509279239309086,79.49150746499399,148.668839261191,637.2755364516761,A1_pool
18,4195,84527,1049,4,largestgap,1115.211,265.84290822407627,0.10256290435791016,0.6624602198114212,69.53753196887502,111.9038976195932,456.52430805357693,A1_pool
19,5148,98986,1287,4,largestgap,1382.021,268.4578477078477,0.10738492012023926,0.6437880104257168,85.2599732201923,130.92748608122,703.4754542288193,A1_pool
20,4800,94279,1200,4,largestgap,1272.021,265.004375,0.09873533248901367,0.6561050180846212,62.14337131360091,109.63161258538729,471.1992382254773,A1_pool
21,5057,98283,1265,4,largestgap,1362.308,269.39054775558634,0.10455012321472168,0.6446544672018558,77.19490482746119,124.74314236490339,650.2764982205144,A1_pool
