week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s,cell,factor,level
17,5240,99173,3768.606,719.1996183206107,0.06853365898132324,0.4425846752644369,253.41105557503448,428.78118002706395,1176.3321344711712,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
18,4195,84527,3163.662,754.1506555423123,0.05466151237487793,0.45455475765140135,237.41310727267032,456.2270391397242,1036.2249477320784,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
19,5148,98986,3781.578,734.5722610722611,0.06812095642089844,0.4374224637827572,262.23202250233714,437.38684285611396,1216.8207207412993,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
20,4800,94279,3630.996,756.4575,0.06301021575927734,0.4454433118722091,255.30051382046204,404.6507383647194,1194.5431233457637,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
21,5057,98283,3771.174,745.7334387977062,0.06556200981140137,0.44019667694311326,256.92367604726155,422.78490410716074,1222.0213606517227,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
13,4619,92346,3406.122,737.4154578913185,0.06000971794128418,0.45527689342256294,229.99981602020887,393.1587625931677,1122.4076578622935,A1,100,5.28,F_1_1.0,blocksxpitch,1|1.0
14,4926,101294,3708.882,752.919610231425,0.06383514404296875,0.4532252650699943,260.47535841719576,411.2867350056222,1227.3096779992886,A1,100,5.04,F_1_1.0,blocksxpitch,1|1.0
15,4428,87184,3327.672,751.5067750677507,0.05773186683654785,0.4506595246834281,258.5916030524799,456.6669857079216,1097.2004601657989,A1,100,5.13,F_1_1.0,blocksxpitch,1|1.0
16,5091,106001,3857.574,757.7242192103712,0.06891822814941406,0.4503481099234913,285.9933892253435,493.41005133268095,1339.0500041906278,A1,100,5.72,F_1_1.0,blocksxpitch,1|1.0
17,5240,99173,3725.19,710.9141221374045,0.06815862655639648,0.4580767950954393,259.25792799784057,454.9339226737288,1259.7903527524466,A1,100,5.6,F_1_1.0,blocksxpitch,1|1.0
18,4195,84527,3133.68,747.0035756853397,0.05625152587890625,0.46327386515551244,229.60878341424097,440.44199369023477,1008.3253182510524,A1,99,5.46,F_1_1.0,blocksxpitch,1|1.0
19,5148,98986,3765.054,731.3624708624709,0.06816673278808594,0.4498898834178571,269.5292096754767,441.35991117968456,1257.0244654592336,A1,100,5.22,F_1_1.0,blocksxpitch,1|1.0
20,4800,94279,3591.234,748.17375,0.06233334541320801,0.46124852830428836,243.3104559109615,411.29972621535643,1188.2710748323836,A1,100,5.2,F_1_1.0,blocksxpitch,1|1.0
