week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,moves,w,policy
84,330,6521,229.266,694.7454545454545,0.005950212478637695,0.6082234319889588,14.979298352110716,28.39999999999316,0.5872520477207581,0,84,B1_ABC_static
85,306,6084,212.34,693.9215686274509,0.005562543869018555,0.620241617357002,14.916771968046456,29.350000000000726,0.192203703703708,0,85,B1_ABC_static
86,262,5811,186.678,712.5114503816794,0.004786968231201172,0.6224531061779384,15.581441899915324,30.71000000000003,0.04229629629631139,0,86,B1_ABC_static
87,308,5384,206.07,669.0584415584416,0.005614280700683594,0.6296341010401189,14.064393939393906,25.873333333333335,0.0,0,87,B1_ABC_static
88,348,6077,234.342,673.3965517241379,0.006281852722167969,0.6233215402336679,14.151998059161903,28.61666666666434,0.10603318758224001,0,88,B1_ABC_static
89,268,7401,208.422,777.6940298507462,0.0051708221435546875,0.5910789082556411,18.14028472672529,36.833333333341194,2.5732717793717024,0,89,B1_ABC_static
90,375,7661,262.302,699.472,0.0068149566650390625,0.6270623939433494,15.13376252854355,28.239999999999224,0.44379358117521206,0,90,B1_ABC_static
91,358,7527,252.0,703.9106145251396,0.00675511360168457,0.628068951773615,15.246799559844442,31.099999999997674,0.06423737373737064,0,91,B1_ABC_static
92,454,9605,317.85,700.1101321585903,0.008088350296020508,0.6234383133784487,15.360474597031487,29.170000000006397,1.2553688953160762,0,92,B1_ABC_static
93,420,8592,294.672,701.6,0.007416725158691406,0.6106959962756052,15.133022875259993,29.513333333335375,0.21116012681940952,0,93,B1_ABC_static
94,453,9618,314.082,693.3377483443709,0.007913827896118164,0.6200353503846954,15.295297876097095,29.371595959593154,1.5178322978682506,0,94,B1_ABC_static
95,429,9139,294.906,687.4265734265734,0.007457256317138672,0.6165034467666046,15.10958447158699,29.84666666666514,0.7290845274005919,0,95,B1_ABC_static
96,420,9432,310.596,739.5142857142857,0.00778508186340332,0.5920165394402036,16.214599418740708,31.37333333333736,1.0255292645175602,0,96,B1_ABC_static
97,496,9821,347.934,701.4798387096774,0.00907754898071289,0.6137995112514001,15.107402034995863,28.849999999999515,0.9589679337449424,0,97,B1_ABC_static
98,520,11528,362.586,697.2807692307692,0.009495973587036133,0.594795281054823,15.549849036562206,30.34333333333392,2.0248027613168498,0,98,B1_ABC_static
99,607,13306,422.502,696.0494233937397,0.01092839241027832,0.6001916428678792,15.36655572629195,29.566666666651145,1.1355443198777924,0,99,B1_ABC_static
100,666,14687,452.208,678.990990990991,0.012100696563720703,0.5944253421393069,15.455830073744526,30.822222222223353,5.14915826300853,0,100,B1_ABC_static
